A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_19	1	0.0163035323217586	0.0407141317117818	0.024182332662175	0.00708683527422943	0.0123926009252526	0.00466479155630601	0.00884286649639895	0.00236227540402906	0.00457810867838249	0	-0.00487961575404135	0.00145167098275314	-0.00781059884507107	-0.00910374654042767	0.00177247240776606	-0.00527573371179509	-0.00429487681697328	-0.00289125697054677	-0.000941294614566505	0	0.0181942092572869	0.00546764158248891	-0.00549402098922329	0.00741610032664742	0.00177018612737805	-0.000934730115797854	0.0030064750362223	-0.00262429027191349	0.000351506664125872	-0.775482557393542	0.052499197413682	-0.00761892976919692	0.00544031366462345	0.00252848387738558	0.000224586959093903	0.00304609479312165	-0.000652125334161603	0.0035421155896147	-0.00259662106219735
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_2	1	0.00641706233384294	0.0359108919223983	0.0184329067255924	0.00169489489979938	0.00978128110698034	0.00869737307704036	0.0044603548791137	0.00343539953049589	0.00256359232278592	0	0.0116310712171026	0.00832713069831558	0.0131665283661536	0.00810419856555482	0.00556617201313923	0.0105028710678024	0.00702162844425584	0.0100152147288767	0.000405329400213291	0	-0.0157879320362047	-0.014481690180984	-0.00528084910481008	-0.00961982176918941	-0.00414475006560178	-0.0024974721783303	0.00236759475173146	-0.00342413104674268	0.000375692795543713	-0.797279022203121	0.0396108852851504	-0.0139150921103674	0.0035035866201902	0.00372871590922812	-0.000324230189460082	0.00309840256251518	-0.00530194831349178	-0.00211519489388787	7.85315410429271e-05
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_20	1	0.0166577367149043	0.0347769153127322	0.0134033907027297	-0.00404038055268829	0.0130526742724621	-0.00645285319454266	0.00270679233390286	0.00130380175085803	0.002015071193566	0	-0.00702343778557221	-0.00373972378586702	-0.00877086929749419	-0.0131640766766985	-0.00605485407298429	-0.0040420645479436	-0.00270113966319177	-0.00446173323441063	-0.00327649996768174	0	0.0309530548109937	0.010191871708629	-0.00595318110805712	-0.000352695765063773	0.00802337826952066	-0.00499286377360315	0.00162981466122083	-0.00155832737159597	0.00201529382925281	-0.789995996818411	0.031588895205938	-0.0229529519185022	-0.00135740163534948	-0.000357760015088028	-0.000803181112216894	0.0045071580569206	-0.00371351768550215	0.00366891661156339	0.0023207664951039
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_21	1	0.0112276883867903	0.0297317013354453	0.00636484071711639	0.000320220814305395	-0.000587141449591601	0.00388665243928048	-0.000871665928827053	0.00286144475954494	-0.00282764771693498	0	-0.0210571856298767	-0.0146043216887833	-0.0126934846470366	-0.0135243868704177	-0.00795514702003954	-0.00354934296042277	-0.00199407389165523	-0.00156161939885916	-0.00316744676722857	0	0.0229441498911987	0.0183967945612241	0.000546359402422751	-0.00267881994748671	0.000577412249286423	-0.00247032157138546	0.00304282445492893	0.00297497039514073	6.32428920635278e-06	-0.880715555148027	0.047146834070711	-0.0116799751119632	-0.0108649049476661	-0.00490982607306294	-0.000167200167016843	0.00302426777534025	0.00169825280569545	0.00230615584851539	-2.43871802221442e-05
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_3	1	0.0198174592363166	0.0243439238790383	0.0223544973350403	0.0158007315090774	0.00683807703001962	0.00671971865861973	0.00303106557015329	0.00587152461767798	0.00141698372876077	0	0.0149493858691504	0.0153254165473416	0.00431368407217136	0.00234393843623116	0.00135456879489329	0.0068772161083484	-0.00252136103906671	0.00642664414164916	-0.00113889400372995	0	0.00383016363762519	-0.00846752234926527	0.00771612414193003	0.000963484756129192	0.00044371940627881	-0.000246597972886394	0.00385923275098067	0.000734011056919866	-0.00240139574941314	-0.84851423765173	0.0438103768516908	-0.011742152125055	-0.00525716436194831	0.00295815143244226	0.000626067372676263	-0.00129549897543479	-0.00089312560304441	0.00120101530459115	-0.00121200397551675
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_4	1	0.0192954330304616	0.0426457683515132	0.017334610838181	0.00735293833020653	0.010084123419775	0.0135187626166671	0.00382033447026905	0.00697539618576668	0.00217375461297968	0	-0.00522068649522909	0.00318175696636183	-0.00185073072552008	-0.0075700700176603	-0.0055005539314257	-0.00220152880767554	-0.00257354370241191	-0.00393363841314053	-0.0046842592298955	0	0.00274027931089259	-0.000812228195950414	0.00315475127079197	0.00409973863916108	0.00498933446346838	-0.00188187359390442	-0.00122225150055286	0.00169235925874099	0.00215814830310889	-0.800365768585269	0.054880099819151	-0.00345665988689001	-0.00307634578059535	0.0037302325005182	0.00293613522984546	0.00170803920720001	-0.00214938440607825	-0.0010741955520307	-0.00189791116625057
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_5	1	0.0214293972070452	0.0321189139975938	0.0167877739858221	0.0201588934984192	0.0142884434935295	0.0082866208770436	0.00621837453250111	0.0039812827870924	0.00349554568290062	0	-0.0127837962137581	-0.00148720049512756	-0.0100577796824813	-0.0111043521798636	-0.00033108228243804	-0.000708143808636063	-0.0004722274691731	-0.000637146128499648	-0.00151278599713163	0	0.0002169820977377	0.00673106402088448	0.00634969562718797	-0.00355251893331436	-0.00336309704792483	-0.0050997965711846	-2.69806585720558e-05	0.000121221463890816	-0.00110065981169065	-0.794922936225959	0.0618905792204902	-0.00239791589671031	0.00197658396746686	0.00742830444833705	0.00673637979700613	-0.00341286563458483	-0.00284895162113573	0.00182161149763569	0.00198267024326603
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_6	1	0.0183033651092655	0.00732546355765178	0.0207472664438132	0.000538440707969025	0.00333513488812895	-0.00703352591452485	0.00223137671097751	-0.0076924576171301	0.00110311227999333	0	-0.0237683492581404	-0.00806261434654357	-0.0121798660564044	-0.0090002264291358	-0.00402302727970994	-0.00651419090304111	-0.0062466976120373	-0.00775878275466819	-0.0074803404994665	0	0.034465969046688	-0.00334472404501024	-0.00766913799927239	-0.00169266560210336	0.00399585304439347	0.00217297557988135	0.00329015219997707	0.000734801295534067	-8.67798929016486e-05	-0.879699376801826	0.0412360597003152	0.001301030756557	0.00497879598688595	0.00123439159391151	-0.00238756968029673	-0.00519806966082103	-0.000215544663577142	-0.00153408883453926	0.000196509826615736
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_7	1	0.00650702198605491	0.0479531730283983	0.00765400065040211	0.0109887002052913	0.00144062733694746	0.00471914064078626	-0.000256003956114371	4.0617935266728e-05	-0.00212748951531921	0	-0.0385964941490718	-0.00454211759413387	-0.0279634550811542	-0.00354051995130698	-0.0171909918111998	0.00434957772193777	-0.0166210725095518	0.00423314311058012	-0.00866223626552804	0	0.0461839786976841	0.00504410946336656	2.40636807266071e-05	-0.00389206920617546	0.00348652451774782	-0.00724388740769584	0.000168087450602419	0.00221291997547386	-0.00260989372523729	-0.762071970444324	0.00678913869786986	0.00532671372097929	-0.00904962871740672	-0.00185196344882617	-0.00155360555634552	0.0068322295230908	-0.0017573428557978	-0.000102662207288533	-0.00373612622618951
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_8	1	0.0130807577902513	0.0323736923239244	0.0158361583985841	0.00288633085838943	0.0138423542785381	0.0051966817826429	0.00547403073758565	0.00388147151163135	0.0034056395321091	0	-0.0102192229061703	-0.000629063861268273	-0.0141498402561143	-0.00186481481950574	-0.00493561928270582	-0.00518072556307428	-0.00440385106188202	-0.00450222790294145	-0.00385578802801426	0	0.0118931012083092	-0.0114484639523793	-0.00176775164073736	0.00139307954775248	-0.00322963085807605	0.00200225009684375	0.00183864672228833	-0.000581536536427725	0.00257384050632776	-0.78995218538416	0.0545529347219412	-0.00254982538344999	0.00760233063954872	0.00765444922021054	0.00360464602556451	0.00691619076333144	-0.00357874056254497	0.000521297217229914	0.00081386436090529
