PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_19	-0.0235859236623677	-0.0176362690719032	-0.0218041971388849	-0.00242818221949794	0.00262973612074124	-0.00646252536660877	0.0027680494317032	-0.00619266484070678	0.00540234554459277	0.0119658238205686	-0.00695116201511077	-0.00683788762343226	0.00300900885831466	-7.48520766068647e-05	0.00469915404820833	0.00111457417064753	-0.000238620305961366	-0.000963056600533279	-0.00380660929807734	0.00129150638541059	-0.002162626873993	-0.000437477681010248	-0.00102757457455184	-0.00193296990701954	0.00150065668244219	0.000709957138567424	0.00169166522467346	0.00100275447019908	-0.000504361702028951	-0.00175463513287429	0.000133472291778533	0.0011996369521612	0.000463194172330608	-0.000979105019901681	-0.00154205301166169	0.000304726716297006	0.000750234932392565	-2.20303982744189e-16	-2.18498354244029e-18	-1.1347547316321e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_2	-0.0460488578446474	0.0356386450677369	-0.00527440724527574	-0.012385287100227	0.00161560031224372	0.000885168668701898	0.0102619704701592	-0.0108977987747386	-0.000125206828795521	0.00554886692112005	0.00225180319471218	-0.00194670464087306	-0.0051872241806435	-0.00796600278318688	-0.0063440625481249	-0.000436681409423596	-0.00131759731888383	-0.00119600207807295	-0.00215833675926667	-0.007128851981488	-0.000187312386430969	0.00324538125236567	-0.00136441388341872	0.0042185818177822	0.00318474286628145	0.000523451558969336	-0.00210554741342627	0.00145924484325905	-0.00562100059936049	0.000770825619765237	-0.00111981928105393	-0.00151949051234806	0.000706000282328862	-0.0010175244146741	-0.000390921613862904	0.00112502954639834	-0.000205052362975278	8.46078768674474e-17	-1.31873344036411e-17	-1.12456267201181e-17
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_20	-0.0430514647525178	-0.031891305973705	0.00255654549905357	0.0111852938800026	0.00304043078128093	0.00272821896569187	0.000860531272511454	-0.00811441337749799	0.0015072942512766	0.0100454533530021	-0.000996579112572907	-0.00893602391371761	0.00248695107621314	-0.00960246011366913	0.00476245127134435	0.000688922185641178	-0.00154603033345251	0.00153790982232693	0.00218066946404747	-0.00273477348036813	-4.00938674431632e-05	0.00231852546017876	0.0041231546206492	-0.00366628388017328	-0.00428576849651959	-0.00281249084799554	-0.00539387720937249	0.0019408242673155	-0.000503817768069336	0.00231835561308636	0.00223342173041197	-0.00196617481333415	0.000654469953106907	0.00210066284952781	0.000839268736386877	0.000626633108882229	0.00149526156317216	-4.21164182014247e-17	-6.54617458636736e-18	-4.22297935920088e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_21	-0.130857142539257	-0.031878773407174	-0.0186594876732628	0.00333767207744978	-0.00728314248945362	-0.0113399978595813	-0.00559790597527725	0.0119514417496821	-0.0177665661951404	-4.78140436369698e-05	-0.00131258936190972	0.000352814686620877	-0.000809752139957378	-0.00880514902023259	-0.00246448477214969	-6.79878333544324e-05	-0.000471134296738473	-0.00580375819169881	0.00313702743695441	-0.000990814987965049	-0.000426456676653367	-0.0020759920206485	-0.00130946425050749	-0.00313738482775546	-0.0022597291903843	-0.000278853888503539	0.00111670474950847	-0.00119555461315343	-0.000766682138538383	-0.00154302756722205	-0.00136377639289934	-0.00325648927461329	-0.000347112865651542	-0.00137036251819391	0.000290779748883756	-0.00190888719235074	0.000696541321039641	1.96593742595881e-16	-3.18987234578561e-17	-1.80866080801718e-17
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_3	-0.0972791515136666	0.0159148834360797	-0.0201372368321068	-0.00756458305940758	0.0200239509594648	0.00231323931853102	0.015386321117483	-0.00158979970235212	0.00341955296891585	-0.00172215842509298	-0.0064087677519534	0.000474140626629539	-0.00994913359454842	0.00322481137422363	0.0015586092108969	0.0101723611234503	-0.00270078163320128	-0.000355692547482359	0.00234312056893616	-0.000329845614112503	-0.000529928614706107	0.00351124126038957	-0.00424929547941354	-0.0034121853797077	0.0011333419016241	0.00229553098294468	0.00120146435009886	0.0011702877464131	0.000459638180514072	-0.00204694539977898	-0.000402849333527425	-0.000699963645225394	-0.00236999526299024	-0.00125914029921063	-0.000522078272375968	0.000973741766574886	-0.000532485631551712	-5.52256398764181e-17	-1.19564807964462e-17	-1.06150088067555e-17
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_4	-0.0470121202482655	-0.00226111505348938	-0.0265208309581518	-0.00858573634131022	0.00350441050756927	-0.00297495964118824	-0.000957228349846755	0.0107423184857946	0.00222754421390377	0.00586662449928094	-0.00682676391204053	0.00246449896603894	0.00397087606133344	-0.00321189892535751	0.00364986623152014	0.00548800319191991	-0.000575694622183157	-0.0022982833184676	0.000497266839755672	-0.00428535993248946	0.000535430134154377	0.00193997215383413	0.0033958768286596	0.0015021633337118	-0.00163363609126335	-7.22506859888794e-05	0.00172629807530423	-0.00321553743730881	-0.00340575033860764	-0.000559255967797245	-0.00231498823234353	-0.000247884578875161	-0.000240052648751605	0.00185550012719844	-0.000183066935080507	-0.000623785150255242	-0.00136567204378708	-1.09679165269301e-16	-4.9592291143942e-18	-3.58335481510546e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_5	-0.0417731406379406	-0.00620073430010905	-0.0329459184274987	-0.00603044200111852	-0.00644834671512454	-0.0128131144933155	0.000161243807688488	0.00844314672261152	0.00716284614626404	0.000101765487576776	-0.0120252048975553	0.0071355123437513	-0.00919619024525633	-0.00208122644452602	0.00304645340114981	-0.00473114537340862	-0.00612602892316247	0.000937157226390626	0.00813110465438839	0.00138771611300755	-0.0021859342703811	0.00406901404145296	-0.00331598428992891	-0.00163362217648535	-0.00185637327678402	-0.00365589191570315	-0.000421261341491402	-1.95047905995118e-05	0.0029287560700735	-0.000565023477094884	-0.000424419488763441	0.000187030247096612	0.00086259317623321	-0.00171707085601577	-5.47306227046849e-06	-0.00158212071295793	-0.00210744302152649	1.30478440255452e-16	-1.43503589724693e-17	-4.78957673751811e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_6	-0.134428819906348	-0.0357134931120108	-0.0225093016326931	-0.00740006221942943	-0.00938072700104007	-0.00723478039847536	0.00606044844369298	-0.0107402464783641	0.0108144240344698	-0.0102479563221939	1.31359115680969e-05	-0.0115180953085178	0.00588422254652277	0.000192852928168711	0.00904985027005327	-0.00362677937974037	0.00292040377494641	0.00263106747762356	0.004837314524517	-0.0024590021826114	-0.011812203897046	-0.00295339185860443	0.00219553573927142	0.00182138542738028	-0.00404663289751792	0.000582465269589541	-0.0001808520922572	0.0035079540324464	-0.000433079115451087	0.000384085658108805	0.000540662137778766	0.0018413905145794	-0.000725177266582213	0.000862313349637339	0.00113276674186605	0.000583566560395509	-0.00138606797750278	1.68911110118941e-16	-1.70587429394585e-17	-1.59712362255195e-17
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_7	-0.0181095424039759	-0.0633124828689619	0.0234685792833375	-0.0341448021437499	-0.0001837314534079	0.00423008751617098	-0.0182011623355443	0.00488671009862599	0.00804133049893573	-0.00841167861487787	-0.000702286552604641	-0.00396665214314009	-0.00842155076326456	-0.0134217784508857	0.00131832017602287	0.0036382276657389	0.00204050833963535	-0.00111751594805767	-0.0069825355340723	-0.00227355827883031	-0.00122413323864967	0.000317985550897406	0.00019121197683708	-0.00124734822523304	0.000768989636689285	-0.000920264888307976	0.000776729305047824	-0.00178804448773934	0.00144562692179862	0.00139340018228268	0.00478632380186353	0.000406038382428837	-0.00120333782916162	-0.000252677129399378	-0.00236142273368532	-0.00129618644032286	0.000926769895824617	-1.06337127490364e-16	-4.97299395910917e-18	2.03395954583701e-18
CL_RGB_SEED_shell_12_08_1_2024-08-12-13-09-15_2_1.png_8	-0.0392643728406192	-0.0132482274909329	-0.0227511345309201	-0.0148676391221648	-0.00339826892429391	-0.00213321957173886	0.0102327705926032	-0.0017445345044309	0.0112058222019212	0.00457029872547181	-0.00167426535945738	0.00457357303211358	0.011527375355909	-0.00654501345377843	0.00166156924779523	-0.00838548633777519	0.00250383284223236	-0.00320835288505345	-0.000111790273523058	-0.000716793553193428	-0.0063603473894371	0.00311235334275927	-0.00146516523002225	0.000864132012521523	-0.000373195835356364	-0.00116695362451698	-0.000926791388430115	0.000993405239029413	-0.000587151924362332	0.00166349741317539	0.00114522836962948	0.000915632727563598	-0.000307896444425457	-0.000182561990815864	0.000198358177368604	-0.000496774104503152	0.00150891481746962	-1.07320233331648e-17	-2.55990346977816e-18	-6.53175694434245e-18
